key,en,fa,ku,ar,bal,az
page_title,Digital Iran Freedom Congress,کنگره‌ی دیجیتال آزادی ایران,کۆنگرەی دیجیتاڵیی ئازادیی ئێران,المؤتمر الرقمي لحرية إيران,ایران ءِ آزاتی ءِ ڈیجیٹالی کانگرس,ایرانین دیجیتال آزادلیق کونقره‌سی
meta_description,"A continuous, digital-first political engagement space for Iranians. Every weekend, without end.",فضای مشارکت سیاسی پیوسته و دیجیتال برای ایرانیان. هر آخر هفته، بدون پایان.,بۆشایی بەشداری سیاسی بەردەوام و دیجیتاڵ بۆ ئێرانیان. هەموو کۆتایی هەفتەیەک، بەبێ کۆتایی.,فضاء مشاركة سياسية مستمرة ورقمية للإيرانيين. كل نهاية أسبوع، بلا نهاية.,ایرانیانی یک مدامیݔں سیاسی پدگیری ءِ ڈیجیٹالی جاگہ. ھر ھپتگ ءِ آخرا، بے سرھد.,ایرانلیلار اوچون داواملی و ایلک نؤوبه‌ده دیجیتال سیاسی ایشتیراک فضاسی. هر هفته‌سونو، سونسوز.
nav_about,About,درباره,دەربارە,حول,بارہ ءَ,حاقیندا
nav_working_groups,Working Groups,کارگروه‌ها,گرووپە کارەکان,مجموعات العمل,کار ءِ گرۏپاں,ایشچی قروپلار
nav_governance,Governance,حکمرانی,بەڕێوەبردن,الحوكمة,سررشتگی,ایداره‌ائتمه
nav_join,Join,عضویت,بەشداری,انضمام,گۏں بئیگ,قوشولما
nav_redlines,Red Lines,خطوط قرمز,هێڵی سوور,خطوط حمراء,سُھرݔں لکݔر,قیرمیزی خطلر
nav_partners,Partners,همکاران,هاوبەشان,شركاء,ھمکاراں,طرفداشلار
hero_label,A Continuous Political Engagement Space,فضای مشارکت سیاسی پیوسته,بۆشایی بەشداری سیاسی بەردەوام,فضاء مشاركة سياسية مستمرة,مدامیݔں سیاسی پدگیری ءِ جاگہ,داواملی سیاسی ایشتیراک فضاسی
hero_subtitle,"Every weekend, without end — a structured, secure, digital space where Iranians deliberate, decide, and act together. Not a one-off event. A permanent rhythm of freedom.",هر آخر هفته، بدون پایان — فضایی سازمان‌دهی‌شده، امن و دیجیتال که ایرانیان در آن گفتگو می‌کنند، تصمیم می‌گیرند و با هم عمل می‌کنند. نه یک رویداد یکباره. یک ریتم دائمی آزادی.,ڕۆژانی کۆتایی هەموو هەفتەیەک، بێ کۆتایی. فەزایەکی ڕێکخراو، پارێزراو و دیجیتاڵ کە ئێرانییەکان تێیدا گفتوگۆ دەکەن، بڕیار دەدەن و پێکەوە کار دەکەن، نەک تەنها چالاکییەکی کاتی، بەڵکوو ڕیتمێکی هەمیشەیی بەرەو ئازادی.,كل نهاية أسبوع، بلا نهاية — فضاء منظم وآمن ورقمي يتشاور فيه الإيرانيون ويقررون ويعملون معاً. ليس حدثاً لمرة واحدة. إيقاع دائم للحرية.,ھر ھپتگ ءِ آخرا، بے سرھد — یک رݔکبند، سلامت ءُ ڈیجیٹالی جاگھے کہ ایرانی اۏدا گۏں یکدگرا گپ جن انت، پݔسلہ کن انت ءُ کار کن انت. اے یک واریݔں رۏدادے نہ اِنت. آزاتی ءِ یک مدامیݔں ریتمے۔,هر هفته‌سونو، سونسوز — ایرانلیلارین بیرلیکده مصلحتلشدیگی، قرار وئردیگی و آددیم آتدیغی ایستروکتورلو، تهلوکه‌سیز و دیجیتال فضا. بیر دفعه‌لیک حادیثه دئییل. آزادلیغین دایمی ریتمی.
btn_join,Join the Congress,به کنگره بپیوندید,بەشداربە لە کۆنگرەدا,انضم إلى المؤتمر,کانگرس ءَ گۏں بئیت,کونقره‌یه قوشولون
btn_learn_more,Learn More,بیشتر بدانید,زیاتر بزانە,اعرف المزيد,گݔشتر بزان اِت,داها چوخ اؤیره‌نین
stat_working_groups,Working Groups,کارگروه,گرووپی کار,مجموعات عمل,کار ءِ گرۏپ,ایشچی قروپ
stat_launch_sprint,Launch Sprint,اسپرینت آغازین,سپرینتی دەستپێک,سبرنت الإطلاق,بنگیجی اسپرینت,باشلانغیج ایسپرینتی
stat_weekends,Weekends,آخر هفته‌ها,کۆتایی هەفتە,نهايات الأسبوع,ھپتگ ءِ آخراں,هفته‌سونلاری
stat_venue_cost,Venue Cost,هزینه‌ی مکان,تێچووی شوێن,تكلفة المكان,جاگہ ءِ ھرچ,مکان خرجی
about_label,Why This Congress,چرا این کنگره,بۆچی ئەم کۆنگرەیە,لماذا هذا المؤتمر,پرچا اے کانگرس؟,نیه بو کونقره؟
about_heading,"Tired of one-off, fruitless, unaccountable actions?",از کارهای مقطعی و بی‌نتیجه و ناپاسخگو خسته‌ای؟,لە کارە کاتییە و بێ ئەنجام و بێ بەرپرسیارەکان ماندووبوویت؟,هل تعبت من الأعمال المؤقتة، غير المثمرة، وغير الخاضعة للمساءلة؟,چہ یک واری، بے نپ ءُ بے جۏابݔں کاراں سست ءُ بݔزار اِت؟,بیر دفعه‌لیک، نتیجه‌سیز و جاوابده‌لیگی اولمایان ایشلردن یورولموسونوز؟
